 ;De 16 a 19 años;;;De 20 a 24 años;;;De 25 a 34 años;;;De 35 a 44 años;;;De 45 a 54 años;;;55 y más años;;
 ;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres
01 Andalucía;;;;;;;;;;;;;;;;;;
    2011T2;1.1;0.7;0.4;5.8;3.4;2.4;12.5;7.9;4.6;10.0;5.5;4.5;8.2;4.7;3.5;4.3;3.2;1.1
    2011T1;1.1;1.0;0.1;7.1;3.9;3.3;17.7;10.5;7.2;9.6;5.0;4.6;6.6;4.3;2.4;3.2;2.0;1.2
    2010T4;1.0;0.4;0.6;6.0;3.0;3.0;14.7;7.6;7.1;10.0;4.9;5.2;6.6;2.8;3.8;2.8;1.6;1.3
    2010T3;1.1;0.3;0.8;3.8;1.7;2.1;10.7;6.4;4.3;9.9;5.1;4.8;4.8;2.3;2.5;3.5;2.5;1.0
    2010T2;1.3;0.7;0.6;6.2;3.2;2.9;11.0;5.5;5.5;11.4;6.2;5.2;6.3;3.2;3.2;2.9;1.4;1.5
    2010T1;1.6;1.0;0.5;7.1;3.0;4.1;12.4;6.4;6.1;10.4;5.3;5.1;5.8;3.3;2.5;3.0;1.6;1.5
    2009T4;1.2;0.4;0.8;6.5;3.3;3.3;11.2;6.3;4.9;9.4;5.8;3.6;5.7;3.0;2.8;1.8;0.9;0.9
    2009T3;0.9;0.6;0.4;4.3;1.9;2.4;11.6;6.3;5.3;7.9;4.3;3.5;6.1;3.0;3.1;0.9;0.3;0.6
    2009T2;1.7;0.8;1.0;5.0;2.5;2.5;11.7;5.8;5.9;7.4;3.6;3.9;5.4;3.0;2.3;2.0;1.4;0.6
    2009T1;1.3;0.6;0.8;5.6;2.2;3.3;12.9;7.2;5.7;8.5;4.9;3.6;5.6;3.7;1.9;2.2;1.6;0.7
    2008T4;0.8;0.5;0.4;4.5;1.8;2.7;8.5;4.8;3.7;5.0;2.5;2.5;5.0;3.2;1.8;1.3;0.8;0.5
    2008T3;0.8;0.7;0.1;3.5;1.2;2.3;5.7;2.7;3.0;4.0;1.9;2.1;2.9;1.7;1.2;1.2;0.8;0.4
    2008T2;1.4;0.5;1.0;3.8;1.5;2.3;5.5;1.9;3.6;5.4;2.8;2.6;2.6;1.3;1.2;1.5;0.8;0.7
    2008T1;0.7;0.3;0.4;2.4;0.8;1.6;5.2;1.4;3.8;4.3;1.0;3.3;4.7;2.9;1.8;1.0;0.4;0.5
    2007T4;0.3;0.1;0.2;2.1;0.5;1.6;3.5;1.4;2.1;2.8;1.1;1.7;4.2;2.1;2.1;0.4;0.1;0.3
    2007T3;1.1;0.6;0.4;2.8;1.0;1.9;4.6;2.8;1.7;3.4;1.7;1.7;3.2;1.5;1.7;0.7;0.2;0.5
    2007T2;1.1;0.4;0.7;2.3;0.9;1.5;5.4;2.6;2.8;5.1;1.5;3.6;2.7;0.9;1.7;1.2;0.8;0.4
    2007T1;0.9;0.2;0.7;2.8;1.4;1.4;6.5;2.9;3.6;4.8;1.2;3.6;3.5;1.5;2.0;0.9;0.7;0.2
    2006T4;1.1;0.5;0.6;2.5;1.0;1.5;5.6;2.3;3.3;2.4;1.0;1.3;3.7;1.2;2.5;0.7;0.7;0.3
    2006T3;1.7;0.5;1.2;3.1;1.0;2.2;4.6;2.3;2.3;3.9;0.6;3.2;3.4;1.5;1.9;0.7;0.6;0.1
    2006T2;0.7;0.4;0.3;2.8;0.9;1.9;5.6;1.6;4.0;3.7;0.6;3.1;3.0;1.2;1.8;1.6;1.0;0.6
    2006T1;1.0;0.7;0.3;3.5;1.2;2.3;6.9;2.9;4.0;3.7;1.0;2.7;2.7;1.0;1.8;1.1;0.8;0.3
07 Castilla y León;;;;;;;;;;;;;;;;;;
    2020T4;3.5;2.1;1.4;13.6;6.4;7.1;29.3;14.1;15.2;24.8;11.0;13.8;30.9;10.6;20.3;26.3;11.2;15.1
    2020T3;5.4;2.1;3.3;18.6;8.6;10.0;33.6;17.6;16.0;26.4;11.5;14.8;33.7;15.5;18.2;20.9;9.6;11.3
    2020T2;4.1;2.4;1.7;15.7;7.8;7.8;34.8;19.9;14.9;29.4;14.3;15.1;27.6;13.5;14.0;19.1;9.6;9.6
    2020T1;5.3;3.5;1.8;15.3;8.4;6.9;27.5;14.8;12.6;28.8;11.8;17.0;28.9;13.4;15.5;26.2;12.8;13.4
    2019T4;5.3;3.2;2.2;11.2;5.5;5.7;27.5;12.4;15.0;27.6;10.6;17.0;29.9;14.5;15.5;25.1;13.3;11.8
    2019T3;5.2;3.2;2.0;13.2;6.4;6.8;31.6;15.5;16.1;27.4;13.0;14.4;26.2;10.7;15.5;22.8;10.7;12.1
    2019T2;4.3;2.7;1.6;16.3;7.4;8.9;28.2;12.7;15.5;28.8;11.8;17.0;29.5;13.9;15.6;24.8;12.7;12.0
    2019T1;3.9;1.8;2.1;13.8;8.1;5.7;29.7;14.2;15.5;29.0;11.7;17.3;35.1;16.6;18.5;25.1;12.2;12.9
    2018T4;3.7;1.8;1.9;11.0;6.4;4.6;30.7;14.5;16.1;27.1;11.3;15.7;30.5;14.6;15.9;22.2;10.9;11.3
    2018T3;5.0;3.3;1.7;13.1;7.4;5.7;30.9;16.1;14.8;26.8;10.5;16.3;33.4;16.2;17.3;17.8;8.7;9.1
    2018T2;4.0;1.9;2.1;12.7;8.1;4.6;30.0;15.1;15.0;27.2;10.3;16.9;36.8;14.6;22.3;23.6;11.0;12.6
    2018T1;4.1;2.5;1.6;14.3;8.3;5.9;35.4;18.1;17.2;33.2;13.1;20.0;41.9;16.1;25.8;26.0;12.4;13.6
    2017T4;4.0;2.6;1.4;14.2;8.0;6.1;35.6;15.1;20.4;36.1;14.6;21.5;38.4;15.8;22.7;25.1;12.6;12.5
    2017T3;5.9;3.8;2.1;17.3;9.9;7.4;33.2;13.8;19.4;33.8;13.4;20.4;33.7;12.4;21.3;23.8;11.0;12.8
    2017T2;7.2;4.7;2.5;18.1;10.0;8.1;35.4;17.4;18.0;41.0;16.7;24.2;40.0;17.6;22.4;23.0;12.1;10.9
    2017T1;3.6;2.6;1.0;15.6;8.9;6.6;36.9;18.0;18.8;42.3;18.2;24.1;47.5;23.3;24.1;25.2;13.3;11.9
    2016T4;5.5;3.2;2.4;14.9;8.9;6.0;38.7;19.0;19.7;41.4;20.3;21.1;45.8;20.3;25.5;22.7;11.3;11.5
    2016T3;4.4;2.7;1.7;18.2;8.2;10.0;34.6;16.2;18.3;37.9;16.7;21.2;41.1;18.1;23.1;24.3;12.9;11.4
    2016T2;6.7;4.1;2.6;20.9;9.7;11.2;43.2;21.4;21.7;43.4;20.9;22.5;43.9;20.6;23.3;28.4;16.0;12.4
    2016T1;4.4;1.8;2.6;22.6;10.1;12.5;49.0;23.4;25.6;54.4;26.0;28.4;50.4;26.2;24.1;28.6;17.3;11.2
    2015T4;5.0;2.1;2.9;21.9;11.0;10.8;46.7;20.6;26.2;52.5;22.2;30.2;49.8;23.7;26.1;25.5;14.1;11.4
    2015T3;7.6;4.0;3.6;23.6;11.5;12.0;47.3;22.2;25.1;42.7;18.8;23.9;44.4;22.9;21.5;25.2;12.9;12.3
    2015T2;6.9;3.5;3.4;23.2;11.5;11.7;51.9;23.0;29.0;55.5;25.0;30.6;48.5;23.2;25.3;27.1;15.7;11.4
    2015T1;7.1;4.7;2.4;24.6;12.2;12.4;60.3;28.7;31.7;58.8;26.1;32.6;53.3;27.8;25.5;29.7;16.2;13.4
    2014T4;6.9;4.1;2.7;27.0;13.0;14.0;61.2;30.7;30.5;57.8;27.4;30.4;51.3;24.4;27.0;30.1;16.3;13.8
    2014T3;5.6;3.7;1.9;27.6;14.7;12.9;60.9;30.8;30.1;53.2;24.5;28.6;49.3;22.5;26.8;29.4;16.0;13.4
    2014T2;6.0;4.2;1.9;26.2;15.1;11.1;66.0;34.5;31.5;63.7;31.0;32.7;54.6;28.2;26.4;30.1;16.3;13.8
    2014T1;6.2;3.9;2.3;24.9;12.7;12.2;67.0;34.3;32.7;68.4;34.8;33.6;59.1;30.7;28.5;31.7;16.9;14.7
    2013T4;7.5;4.7;2.7;26.4;14.9;11.5;69.9;35.3;34.6;70.5;36.5;33.9;56.7;25.8;30.9;25.7;16.2;9.5
    2013T3;7.8;4.4;3.4;28.6;14.8;13.7;66.8;31.8;35.0;61.2;32.0;29.2;53.2;23.0;30.2;27.8;16.1;11.8
    2013T2;6.6;3.6;3.1;29.9;16.3;13.6;69.9;33.7;36.3;65.5;32.0;33.4;49.6;22.5;27.1;28.3;17.2;11.1
    2013T1;7.3;4.5;2.7;28.5;16.6;11.9;76.0;39.8;36.2;68.2;34.2;34.0;56.5;25.8;30.7;30.5;18.9;11.6
    2012T4;6.7;4.7;2.0;27.9;14.6;13.3;72.9;37.9;35.0;57.7;27.2;30.6;53.0;24.9;28.1;25.9;17.2;8.7
    2012T3;8.0;5.5;2.5;30.3;13.8;16.4;64.6;29.5;35.1;55.0;27.5;27.5;48.9;25.0;23.9;24.7;14.4;10.3
    2012T2;8.7;5.5;3.2;30.1;13.9;16.1;67.0;33.4;33.6;60.8;29.6;31.2;49.1;25.5;23.6;22.0;13.4;8.6
    2012T1;8.2;5.0;3.2;30.9;15.9;15.0;67.9;34.2;33.7;56.0;28.0;28.0;45.9;23.4;22.5;21.2;12.4;8.8
    2011T4;6.3;3.7;2.5;29.0;15.9;13.1;60.7;30.8;29.9;47.4;23.6;23.7;44.1;21.1;22.9;17.7;10.9;6.8
    2011T3;10.1;6.8;3.3;25.8;13.6;12.3;57.2;29.2;28.0;44.5;23.8;20.8;40.0;18.8;21.2;18.7;11.9;6.8
    2011T2;7.7;4.4;3.3;24.0;13.7;10.2;58.5;29.1;29.4;45.1;23.7;21.4;44.8;22.4;22.5;17.7;10.8;6.9
    2011T1;7.5;4.0;3.5;27.0;14.4;12.6;64.2;33.4;30.8;48.9;23.4;25.5;43.2;22.1;21.1;17.0;9.9;7.0
    2010T4;8.3;4.1;4.2;24.7;14.1;10.5;56.0;27.6;28.5;48.1;22.7;25.4;36.8;19.2;17.6;14.6;9.5;5.1
    2010T3;10.7;5.5;5.2;22.3;12.5;9.8;56.5;25.9;30.7;44.1;21.2;22.8;33.7;16.2;17.5;16.4;10.4;6.0
    2010T2;8.1;4.2;3.9;25.8;12.0;13.7;58.9;27.5;31.4;45.9;20.3;25.7;40.2;20.7;19.5;18.3;12.0;6.2
    2010T1;6.3;4.6;1.6;22.4;12.2;10.2;60.0;31.1;28.9;47.8;24.1;23.8;33.7;17.9;15.8;17.1;10.8;6.2
    2009T4;6.3;4.1;2.3;23.4;10.9;12.5;47.8;23.5;24.3;44.3;22.0;22.3;29.8;13.7;16.1;16.8;11.0;5.9
    2009T3;10.8;6.3;4.5;23.5;10.8;12.7;39.4;18.9;20.6;37.7;17.3;20.4;30.0;11.3;18.8;14.5;9.2;5.3
    2009T2;11.1;5.4;5.7;21.8;10.3;11.6;46.8;23.8;22.9;44.1;21.0;23.1;33.3;17.3;16.0;14.6;9.4;5.2
    2009T1;9.6;5.5;4.2;24.1;12.1;11.9;48.0;25.3;22.8;41.3;17.3;23.9;32.8;16.5;16.4;11.3;6.2;5.2
    2008T4;11.2;4.5;6.7;17.5;7.8;9.7;37.1;17.2;19.9;35.7;12.7;23.1;25.9;13.8;12.1;8.7;5.0;3.8
    2008T3;8.9;3.8;5.1;15.7;7.5;8.2;33.6;14.4;19.2;28.1;11.7;16.5;19.4;9.0;10.4;7.7;3.4;4.3
    2008T2;10.1;4.2;5.9;15.1;7.2;7.9;36.9;13.1;23.8;25.5;9.6;15.9;16.1;5.4;10.7;7.0;4.3;2.7
    2008T1;5.3;2.9;2.4;14.6;6.6;8.0;29.4;10.0;19.4;25.3;7.7;17.6;16.3;6.4;9.9;6.3;3.0;3.3
    2007T4;5.4;3.0;2.4;13.5;5.3;8.2;25.6;12.3;13.4;21.3;6.9;14.4;11.1;2.7;8.4;4.6;2.3;2.3
    2007T3;8.2;5.8;2.4;12.9;6.7;6.2;24.2;10.1;14.1;19.8;7.2;12.5;11.8;3.1;8.7;5.9;2.9;3.1
    2007T2;6.0;3.4;2.7;13.1;6.3;6.8;24.1;9.2;14.9;22.8;6.2;16.6;11.1;2.6;8.6;6.3;3.0;3.3
    2007T1;5.3;2.3;3.0;11.4;5.1;6.3;25.2;10.2;15.0;23.4;8.6;14.8;13.4;4.0;9.4;6.0;2.7;3.3
    2006T4;5.1;1.9;3.2;12.2;4.2;8.0;29.1;12.0;17.1;23.7;7.9;15.8;11.5;3.5;7.9;5.8;3.0;2.8
    2006T3;5.2;2.5;2.7;15.0;5.9;9.1;26.5;9.6;16.9;20.2;7.3;12.9;12.7;3.8;8.9;7.4;4.6;2.8
    2006T2;6.2;2.8;3.4;14.4;6.1;8.3;30.0;9.7;20.3;21.9;7.5;14.4;14.3;4.9;9.4;6.8;4.6;2.2
    2006T1;5.0;2.8;2.2;12.6;6.2;6.4;39.4;12.5;26.8;23.8;8.3;15.5;14.2;5.2;9.0;8.0;4.9;3.1
08 Castilla La Mancha;;;;;;;;;;;;;;;;;;
    2020T4;4.3;2.1;2.1;18.2;8.2;10.0;47.4;22.4;25.0;35.6;12.1;23.4;36.0;11.0;25.0;31.6;12.5;19.1
    2020T3;6.1;3.2;2.9;21.2;11.8;9.4;49.1;24.9;24.3;36.4;13.2;23.3;41.4;14.0;27.5;25.2;13.8;11.4
    2020T2;4.3;3.3;1.0;18.0;9.6;8.3;38.2;17.6;20.6;34.4;16.0;18.4;35.8;15.5;20.3;25.6;12.9;12.7
    2020T1;6.1;3.7;2.4;20.4;10.5;9.9;47.7;20.8;26.9;34.3;12.5;21.9;40.4;13.3;27.2;28.2;13.8;14.4
    2019T4;6.3;3.2;3.2;19.0;7.7;11.3;40.2;16.5;23.7;31.5;12.7;18.9;37.9;13.0;24.9;28.6;14.7;13.9
    2019T3;7.0;5.0;2.0;22.3;11.0;11.3;34.0;12.3;21.6;31.8;13.2;18.6;37.5;14.2;23.3;25.9;11.9;14.0
    2019T2;7.4;4.3;3.0;21.8;11.0;10.9;35.5;13.3;22.2;29.7;11.5;18.1;37.4;15.5;21.8;29.5;14.8;14.7
    2019T1;6.9;4.4;2.6;19.2;9.0;10.2;33.3;13.7;19.6;35.1;10.5;24.7;36.7;14.1;22.5;23.7;12.3;11.4
    2018T4;7.5;4.1;3.5;21.4;10.3;11.1;35.2;16.2;19.0;36.3;12.0;24.3;36.6;13.5;23.1;22.9;9.7;13.2
    2018T3;9.0;6.4;2.6;22.9;11.3;11.5;34.7;16.2;18.5;39.4;14.4;25.0;36.9;13.3;23.6;21.2;10.7;10.5
    2018T2;9.7;6.0;3.8;22.6;9.6;13.0;41.3;17.2;24.1;45.7;14.5;31.2;43.1;17.5;25.6;25.3;12.7;12.6
    2018T1;8.0;5.0;2.9;22.3;9.2;13.0;41.8;17.7;24.1;53.9;17.5;36.4;51.7;23.1;28.6;24.9;12.8;12.1
    2017T4;8.3;4.9;3.5;26.0;11.9;14.1;46.8;20.0;26.8;46.5;17.9;28.6;47.7;19.8;27.9;21.2;12.3;8.9
    2017T3;6.4;3.8;2.6;21.3;10.8;10.4;43.8;17.5;26.3;40.4;15.5;24.9;45.4;19.7;25.6;23.8;13.4;10.4
    2017T2;8.0;3.6;4.3;26.2;14.0;12.2;45.8;21.9;23.9;54.2;22.7;31.5;57.0;25.5;31.5;28.1;15.4;12.7
    2017T1;7.4;3.9;3.5;24.3;11.7;12.6;51.9;21.9;30.1;55.8;25.4;30.4;54.9;23.2;31.7;29.2;17.3;11.9
    2016T4;7.8;3.6;4.2;29.4;14.9;14.5;45.6;21.3;24.3;53.8;23.9;29.9;49.6;21.4;28.2;32.8;19.3;13.5
    2016T3;9.0;3.7;5.3;26.0;13.0;13.1;52.7;27.0;25.6;55.0;25.5;29.5;48.9;23.5;25.4;30.2;16.3;14.0
    2016T2;7.3;3.4;4.0;28.2;15.0;13.2;55.3;24.5;30.8;57.9;25.7;32.2;54.9;24.3;30.6;31.6;17.3;14.4
    2016T1;6.0;3.5;2.4;29.9;14.3;15.6;61.4;31.0;30.4;60.4;29.3;31.1;59.3;23.7;35.6;33.4;18.9;14.4
    2015T4;8.1;4.7;3.5;31.3;14.1;17.2;60.0;29.9;30.1;62.3;28.2;34.1;53.4;23.8;29.5;31.8;16.8;15.0
    2015T3;8.9;4.1;4.7;32.4;15.9;16.5;66.9;31.7;35.1;54.3;22.0;32.3;51.0;25.1;26.0;31.6;17.1;14.5
    2015T2;9.7;4.7;5.0;31.6;15.6;16.1;77.8;37.7;40.1;64.4;27.6;36.9;54.2;23.3;30.9;28.9;17.1;11.7
    2015T1;10.5;6.2;4.3;37.1;19.1;18.0;81.6;41.0;40.6;68.8;32.6;36.2;56.3;27.6;28.7;30.0;17.9;12.2
    2014T4;9.7;5.9;3.9;38.8;21.7;17.1;79.9;39.2;40.7;66.3;28.4;37.8;56.1;25.7;30.4;32.4;19.3;13.1
    2014T3;11.9;7.6;4.2;40.1;19.9;20.1;80.8;40.2;40.6;66.8;33.4;33.3;55.9;26.2;29.6;30.1;19.4;10.7
    2014T2;12.6;7.7;4.9;37.1;20.4;16.7;79.6;39.5;40.0;67.6;31.2;36.4;58.9;28.7;30.2;32.5;19.2;13.3
    2014T1;9.8;6.6;3.3;40.1;22.3;17.8;87.5;44.6;42.9;71.3;34.7;36.7;65.3;33.3;32.0;32.5;18.3;14.2
    2013T4;9.6;6.6;2.9;37.5;19.4;18.1;86.0;43.1;42.9;68.9;34.8;34.1;60.2;30.2;29.9;30.3;18.4;11.9
    2013T3;11.4;6.9;4.6;42.5;22.7;19.8;80.3;43.2;37.0;73.1;36.5;36.5;61.5;30.6;30.8;31.7;18.5;13.1
    2013T2;12.5;6.8;5.7;43.9;23.8;20.1;84.0;44.9;39.1;75.3;37.5;37.8;61.9;31.4;30.6;31.0;18.5;12.5
    2013T1;11.4;6.9;4.5;45.1;22.0;23.1;90.3;46.4;43.9;82.5;39.2;43.3;60.1;32.5;27.6;28.4;17.2;11.2
    2012T4;12.5;6.9;5.6;37.0;19.8;17.2;91.1;45.0;46.2;79.6;37.5;42.1;58.6;29.6;29.0;26.7;14.1;12.6
    2012T3;14.8;7.2;7.6;36.6;20.7;16.0;82.9;44.0;38.9;71.2;34.5;36.6;53.8;27.3;26.5;24.5;15.4;9.2
    2012T2;13.1;7.2;5.9;39.2;20.8;18.4;90.4;46.4;43.9;74.6;37.7;36.9;54.5;28.6;26.0;23.3;12.5;10.8
    2012T1;10.9;5.0;5.9;37.8;19.6;18.2;83.1;43.0;40.1;71.5;35.2;36.3;54.8;30.0;24.8;22.7;13.9;8.8
    2011T4;8.9;4.9;4.0;37.3;20.4;16.9;78.8;41.1;37.6;63.1;28.9;34.2;45.3;26.1;19.2;18.4;11.3;7.1
    2011T3;9.8;4.4;5.4;37.9;21.3;16.6;66.8;37.1;29.7;57.1;25.6;31.4;42.4;23.0;19.3;15.9;10.5;5.4
    2011T2;12.3;6.6;5.7;38.1;19.8;18.3;70.1;36.1;34.1;61.7;28.9;32.8;39.4;20.2;19.3;15.9;10.3;5.6
    2011T1;12.3;6.5;5.8;37.1;18.1;19.0;66.1;34.0;32.1;52.4;25.4;27.0;41.7;22.5;19.2;14.0;9.5;4.5
    2010T4;12.2;7.0;5.2;34.6;18.4;16.1;63.9;33.5;30.4;51.2;23.6;27.6;41.8;22.9;18.9;15.4;10.3;5.1
    2010T3;12.0;6.0;6.0;34.7;18.5;16.2;57.3;31.1;26.1;49.4;22.5;26.9;33.0;17.7;15.2;13.9;9.0;4.9
    2010T2;13.2;7.7;5.6;35.3;21.4;13.9;62.1;34.8;27.3;52.3;25.9;26.4;34.3;17.7;16.5;16.8;10.5;6.3
    2010T1;11.0;5.9;5.1;34.1;20.9;13.2;66.3;36.5;29.8;51.4;25.0;26.4;36.1;19.2;16.9;18.7;10.8;7.8
    2009T4;12.5;8.5;3.9;26.9;14.5;12.4;61.3;32.8;28.5;47.5;22.0;25.5;31.9;17.6;14.3;12.2;8.3;3.9
    2009T3;14.4;8.7;5.7;28.8;13.5;15.2;56.6;32.1;24.5;47.0;22.8;24.2;26.5;15.8;10.7;9.2;6.2;3.0
    2009T2;15.1;9.0;6.1;29.9;15.5;14.4;60.4;33.7;26.7;47.8;23.3;24.5;31.2;18.0;13.3;10.9;6.1;4.8
    2009T1;13.8;7.3;6.4;25.8;13.9;11.9;54.6;31.2;23.5;47.3;24.5;22.8;28.1;16.0;12.1;10.3;6.1;4.2
    2008T4;11.9;7.2;4.6;25.9;14.4;11.5;44.8;24.0;20.8;36.0;17.8;18.2;21.6;10.5;11.1;7.7;5.7;2.1
    2008T3;9.6;5.3;4.3;18.3;8.1;10.2;32.6;15.8;16.8;27.1;13.4;13.7;18.1;9.3;8.8;5.6;2.1;3.5
    2008T2;12.0;5.5;6.5;14.9;6.9;8.0;29.6;11.4;18.2;25.9;11.6;14.3;16.9;7.9;9.0;4.5;2.0;2.5
    2008T1;7.4;3.3;4.1;13.8;6.3;7.5;32.7;12.7;20.0;17.5;6.6;10.9;15.1;7.7;7.4;5.6;2.7;3.0
    2007T4;6.7;3.5;3.2;12.8;4.9;7.9;28.5;12.2;16.3;12.9;4.9;8.0;11.2;4.6;6.6;5.1;2.5;2.6
    2007T3;8.3;4.3;4.0;12.8;6.4;6.4;20.3;7.1;13.2;12.4;4.8;7.5;8.6;4.0;4.6;4.0;2.7;1.3
    2007T2;9.4;4.6;4.8;11.5;5.0;6.5;20.4;8.7;11.7;15.5;6.4;9.1;11.2;3.4;7.9;5.4;3.0;2.5
    2007T1;6.5;3.0;3.4;10.4;3.6;6.7;20.4;9.1;11.3;18.2;5.5;12.7;10.4;3.8;6.6;4.3;2.2;2.1
    2006T4;7.3;2.0;5.3;10.6;4.2;6.5;23.1;7.8;15.3;18.0;6.4;11.6;10.3;2.9;7.4;3.5;1.9;1.7
    2006T3;6.3;3.2;3.1;14.9;6.3;8.5;23.5;11.7;11.8;19.7;6.3;13.4;10.9;2.9;8.0;4.3;2.2;2.1
    2006T2;8.6;3.8;4.8;13.4;6.8;6.7;23.1;8.0;15.1;17.5;6.2;11.3;12.0;3.9;8.2;5.2;2.5;2.7
    2006T1;7.1;3.8;3.4;13.9;5.5;8.3;24.1;8.6;15.5;19.5;5.7;13.7;12.6;3.8;8.7;5.0;1.9;3.1
09 Cataluña;;;;;;;;;;;;;;;;;;
    2020T4;30.5;15.8;14.7;85.7;47.1;38.7;128.9;56.2;72.7;124.8;56.9;67.9;110.5;56.8;53.7;57.4;27.0;30.4
    2020T3;32.2;17.1;15.1;73.3;40.7;32.6;118.9;53.2;65.7;101.7;47.0;54.7;114.2;55.9;58.3;66.3;32.1;34.2
    2020T2;17.7;9.6;8.1;78.7;46.5;32.2;115.3;56.8;58.5;108.9;54.1;54.8;90.3;47.4;42.9;62.1;32.3;29.7
    2020T1;19.5;13.2;6.3;63.9;35.7;28.2;92.2;41.6;50.6;98.6;41.5;57.1;78.9;37.5;41.4;58.5;31.2;27.3
    2019T4;19.0;11.6;7.4;60.9;35.6;25.3;85.2;44.5;40.8;97.4;43.9;53.5;84.9;38.7;46.1;58.4;28.6;29.8
    2019T3;20.5;10.9;9.6;58.2;36.6;21.5;97.8;46.0;51.8;95.7;44.6;51.1;86.0;41.6;44.4;63.9;29.7;34.2
    2019T2;21.6;11.0;10.6;55.3;32.1;23.2;93.4;43.6;49.7;102.8;49.5;53.3;95.7;53.1;42.6;62.5;32.0;30.5
    2019T1;26.9;13.4;13.5;64.5;34.6;30.0;93.8;45.8;48.0;103.5;48.3;55.3;85.7;43.4;42.3;72.1;38.2;33.9
    2018T4;21.6;11.5;10.1;63.4;32.9;30.5;96.1;43.0;53.0;111.0;51.5;59.5;91.8;44.7;47.2;67.5;36.5;31.0
    2018T3;26.3;16.3;10.0;55.4;34.1;21.4;93.8;43.4;50.5;79.7;38.2;41.5;92.9;55.0;38.0;55.5;24.3;31.2
    2018T2;26.3;15.4;10.9;51.5;30.1;21.4;101.9;47.4;54.4;87.3;37.1;50.2;105.1;54.4;50.7;60.0;33.4;26.6
    2018T1;23.8;13.3;10.4;55.4;32.1;23.3;92.7;44.9;47.8;109.4;43.7;65.6;98.4;52.6;45.8;79.0;40.5;38.6
    2017T4;26.7;13.1;13.6;56.0;32.7;23.4;103.8;57.4;46.4;106.2;38.3;67.9;105.2;54.3;50.9;81.3;40.7;40.6
    2017T3;23.2;16.6;6.6;66.6;34.5;32.1;98.4;52.1;46.3;106.9;44.4;62.5;97.6;50.6;47.0;82.9;35.9;47.0
    2017T2;18.7;10.8;7.9;62.1;37.7;24.4;100.1;53.3;46.7;118.1;47.4;70.7;119.6;57.9;61.7;78.9;35.9;43.0
    2017T1;23.8;13.6;10.1;61.4;33.9;27.5;118.0;62.4;55.6;161.9;71.7;90.2;130.2;59.4;70.8;81.5;39.6;41.9
    2016T4;24.6;14.5;10.0;60.0;32.5;27.5;121.2;61.9;59.3;145.8;65.4;80.4;123.5;57.8;65.7;83.4;42.7;40.7
    2016T3;21.9;11.0;10.9;68.5;37.0;31.5;118.6;61.7;56.9;146.4;69.4;77.1;118.6;54.3;64.2;78.6;42.2;36.4
    2016T2;20.8;13.5;7.2;72.6;37.4;35.2;128.0;64.8;63.2;159.3;68.2;91.1;135.7;58.1;77.6;87.3;42.2;45.1
    2016T1;22.9;14.9;8.1;70.7;35.2;35.5;151.4;80.2;71.2;165.5;74.8;90.6;148.5;71.0;77.4;101.0;47.6;53.5
    2015T4;31.2;17.3;13.8;70.4;38.6;31.8;142.8;69.9;72.9;172.6;84.1;88.5;152.8;70.1;82.7;98.8;49.4;49.4
    2015T3;34.4;21.4;13.1;81.6;41.9;39.8;135.5;73.1;62.4;154.8;70.5;84.3;153.5;74.7;78.8;99.7;52.4;47.3
    2015T2;28.6;14.9;13.8;90.7;47.9;42.8;159.3;83.1;76.1;172.9;82.3;90.7;164.1;77.8;86.3;110.6;59.6;51.0
    2015T1;36.1;21.7;14.4;87.8;48.0;39.8;174.2;92.5;81.7;182.2;88.3;94.0;171.4;86.0;85.4;106.3;62.0;44.3
    2014T4;29.9;17.7;12.3;96.5;51.8;44.7;164.7;85.8;78.9;203.5;100.0;103.5;160.0;85.9;74.1;101.9;65.1;36.8
    2014T3;28.9;16.0;12.9;106.5;58.9;47.5;152.0;78.1;73.9;190.0;95.6;94.4;164.2;81.2;83.0;84.5;51.7;32.8
    2014T2;32.0;18.4;13.7;99.1;50.0;49.1;177.5;95.8;81.6;198.7;101.7;97.0;169.3;89.0;80.3;93.9;53.1;40.8
    2014T1;32.0;20.7;11.3;111.0;58.1;52.9;209.4;110.7;98.7;227.8;121.5;106.3;176.3;102.0;74.2;83.7;49.7;33.9
    2013T4;35.9;22.2;13.7;107.7;58.3;49.4;213.2;111.1;102.2;230.3;121.8;108.5;168.3;92.5;75.8;84.1;47.7;36.4
    2013T3;46.7;25.3;21.3;106.2;62.1;44.1;219.2;110.9;108.4;231.2;130.5;100.7;182.9;101.4;81.6;89.1;49.9;39.2
    2013T2;45.9;25.1;20.8;116.6;68.6;47.9;218.7;108.1;110.6;243.9;134.3;109.5;191.1;105.4;85.7;93.0;53.3;39.7
    2013T1;42.6;27.6;15.0;113.6;63.6;49.9;236.8;127.0;109.7;254.1;138.1;116.0;206.2;115.7;90.5;95.8;54.9;40.9
    2012T4;36.8;20.1;16.7;118.5;67.0;51.5;250.2;136.8;113.4;245.2;130.3;115.0;194.7;111.0;83.7;80.1;47.7;32.4
