 ;De 16 a 19 años;;;De 20 a 24 años;;;De 25 a 34 años;;;De 35 a 44 años;;;De 45 a 54 años;;;55 y más años;;
 ;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres
01 Andalucía;;;;;;;;;;;;;;;;;;
    2020T1;1.4;0.9;0.5;6.6;4.5;2.2;17.3;8.5;8.9;14.4;6.7;7.8;19.1;7.7;11.5;10.4;5.6;4.8
    2019T4;1.6;1.0;0.6;8.1;5.1;2.9;14.5;6.0;8.5;13.0;6.3;6.7;17.0;6.9;10.1;11.0;5.4;5.7
    2019T3;2.4;1.1;1.3;10.0;5.3;4.7;13.5;6.0;7.5;13.9;6.5;7.3;13.9;5.8;8.1;10.2;6.4;3.8
    2019T2;3.2;1.4;1.8;8.9;4.5;4.4;14.5;8.1;6.4;13.5;4.4;9.0;13.6;5.3;8.3;11.3;6.5;4.8
    2019T1;2.9;1.6;1.2;8.2;4.8;3.4;15.7;8.6;7.1;18.5;6.5;12.0;13.5;5.9;7.6;9.0;5.0;4.0
    2018T4;2.2;1.5;0.8;8.8;4.2;4.6;14.4;7.4;6.9;19.0;7.1;11.9;16.6;8.4;8.2;11.1;6.1;5.0
    2018T3;3.1;1.4;1.7;7.1;3.9;3.2;11.5;4.9;6.7;14.2;5.9;8.3;16.2;6.4;9.9;11.3;4.7;6.6
    2018T2;2.6;1.6;1.0;7.2;4.2;3.0;11.7;5.8;5.9;14.6;6.6;8.0;16.4;7.6;8.8;11.5;5.1;6.4
    2018T1;3.8;2.5;1.3;8.3;5.0;3.3;17.4;9.2;8.2;16.3;6.3;10.0;17.8;9.6;8.2;10.0;4.2;5.8
    2017T4;2.9;1.0;1.9;7.0;3.2;3.8;18.0;7.9;10.1;19.4;5.3;14.1;15.4;8.6;6.8;9.9;4.3;5.6
    2017T3;4.0;2.2;1.8;7.7;4.6;3.1;14.0;4.6;9.3;18.6;6.4;12.1;14.4;7.1;7.3;8.3;3.4;4.9
    2017T2;3.9;2.0;1.9;9.5;5.1;4.4;17.1;4.6;12.5;16.2;5.4;10.8;16.9;8.4;8.5;9.6;3.2;6.5
    2017T1;3.2;1.5;1.7;10.8;6.1;4.7;21.8;8.7;13.1;20.6;7.2;13.4;20.8;10.4;10.5;8.5;3.9;4.6
    2016T4;3.7;2.0;1.7;12.4;7.5;4.9;23.2;9.9;13.3;19.6;7.4;12.2;18.1;8.6;9.5;10.8;4.8;5.9
    2016T3;4.2;2.3;1.9;12.4;7.2;5.2;25.4;10.4;15.1;22.8;10.3;12.5;20.4;7.8;12.6;11.7;5.7;6.0
    2016T2;3.1;1.2;1.9;11.8;5.0;6.8;23.3;9.5;13.7;27.7;13.9;13.8;22.1;9.8;12.3;11.5;4.4;7.1
    2016T1;2.9;1.9;1.0;9.5;3.6;5.9;20.2;9.4;10.8;30.4;11.8;18.6;25.8;11.1;14.7;10.1;4.5;5.7
    2015T4;2.7;1.4;1.3;10.5;4.7;5.8;21.5;9.8;11.7;28.5;12.7;15.8;22.2;9.3;12.8;8.5;3.3;5.1
    2015T3;4.2;2.0;2.2;12.1;5.2;6.9;22.5;9.9;12.6;26.5;13.3;13.1;23.7;10.6;13.1;7.9;2.7;5.2
    2015T2;4.8;2.4;2.4;13.6;6.3;7.3;29.9;12.8;17.0;28.5;12.9;15.6;24.4;10.7;13.7;9.6;3.0;6.7
    2015T1;3.3;1.4;1.9;14.3;6.9;7.4;32.5;13.5;19.0;35.1;16.0;19.2;24.5;11.7;12.8;9.9;5.1;4.9
    2014T4;3.0;1.2;1.8;16.5;8.0;8.5;33.4;12.0;21.4;30.6;14.5;16.1;24.5;12.8;11.7;12.7;6.4;6.3
    2014T3;4.3;2.4;1.8;17.8;9.3;8.5;30.0;11.9;18.1;32.2;15.5;16.7;23.7;11.9;11.8;11.8;6.0;5.7
    2014T2;5.4;3.2;2.2;16.4;9.1;7.3;34.3;16.0;18.3;33.0;16.6;16.4;31.5;16.9;14.6;15.6;8.6;7.0
    2014T1;5.2;2.5;2.7;16.7;8.0;8.6;41.8;20.5;21.3;39.6;20.0;19.6;31.8;17.2;14.5;13.3;8.2;5.1
    2013T4;7.9;5.0;2.9;13.5;5.7;7.8;33.5;17.1;16.4;36.8;21.4;15.4;27.7;14.4;13.3;14.3;7.3;7.1
    2013T3;7.3;4.4;2.8;17.3;8.3;9.0;30.3;16.3;14.0;38.0;19.4;18.6;29.7;15.4;14.3;11.2;5.8;5.3
    2013T2;6.0;3.5;2.5;17.1;8.7;8.4;41.9;21.1;20.7;38.9;17.5;21.5;30.1;14.2;15.9;10.5;5.4;5.1
    2013T1;6.7;4.8;1.9;16.8;8.4;8.4;39.3;21.6;17.8;39.4;20.8;18.7;31.2;16.6;14.6;15.3;7.9;7.4
    2012T4;5.1;3.2;2.0;15.8;7.4;8.4;36.4;17.6;18.9;33.6;16.2;17.3;23.4;12.3;11.1;11.8;5.3;6.4
    2012T3;5.2;3.4;1.8;17.7;9.8;7.9;39.7;20.2;19.5;28.2;14.0;14.2;25.1;13.1;12.0;11.2;6.5;4.6
    2012T2;4.6;3.4;1.2;14.7;7.7;7.0;39.0;22.2;16.8;33.4;16.2;17.2;24.1;12.4;11.7;10.2;5.6;4.6
    2012T1;4.8;2.9;1.9;12.4;7.0;5.4;36.8;21.1;15.7;31.7;15.0;16.7;28.0;14.5;13.5;8.5;5.2;3.3
    2011T4;3.6;2.5;1.1;12.4;7.6;4.8;28.8;15.8;13.0;28.0;14.3;13.8;27.9;15.2;12.8;10.8;7.3;3.6
    2011T3;5.9;4.3;1.6;13.9;9.6;4.3;30.6;15.2;15.5;25.0;12.4;12.7;22.0;10.3;11.7;8.6;5.8;2.8
    2011T2;6.0;4.2;1.8;15.9;8.8;7.2;36.3;19.7;16.5;27.0;13.9;13.1;23.0;11.6;11.4;8.6;5.7;2.9
    2011T1;3.3;1.6;1.8;16.7;8.7;8.0;37.7;21.4;16.3;30.2;17.7;12.5;24.4;12.7;11.7;6.4;3.7;2.7
