;;;;;;;;;;;;
Tasas de paro por distintos grupos de edad, sexo y comunidad autónoma;;;;;;;;;;;;
Unidades: Tasas;;;;;;;;;;;;
;;;;;;;;;;;;
 ;De 16 a 19 años;;;De 20 a 24 años;;;De 25 a 54 años;;;55 y más años;;
 ;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres
01 Andalucía;;;;;;;;;;;;
    2012;77.73;80.35;74.56;42.64;46.87;38.22;16.90;17.39;16.38;13.35;12.80;13.99
    2011;62.81;59.18;66.70;36.47;38.88;33.92;14.89;14.90;14.87;11.34;11.49;11.15
    2010;58.63;60.44;56.42;32.83;34.26;31.30;14.56;14.12;15.04;10.16;10.22;10.06
    2009;52.42;53.27;51.08;30.08;31.64;28.44;12.02;12.25;11.76;11.16;8.99;14.41
    2008;35.61;29.71;41.63;16.81;17.90;15.58;7.34;6.62;8.16;7.11;6.15;8.65
    2007;28.44;22.90;35.78;13.78;10.59;17.06;5.10;4.09;6.27;4.61;3.49;6.54
    2006;29.60;26.83;32.64;10.71;9.56;11.86;5.41;3.75;7.37;4.53;3.39;6.58
14 Murcia, Región de;;;;;;;;;;;;
    2020;59.28;58.31;61.21;31.74;26.14;39.35;15.27;12.77;18.42;10.57;7.64;14.28
    2019;43.90;33.62;60.51;31.01;26.79;36.58;13.36;10.42;16.95;11.45;10.24;13.15
    2018;48.85;47.03;51.56;35.56;37.65;32.94;14.84;10.65;19.99;15.22;13.25;17.89
    2017;50.98;48.57;54.84;36.35;38.97;33.52;16.49;13.03;20.79;15.10;13.69;17.05
    2016;62.87;65.18;59.36;41.91;36.91;48.33;17.23;14.54;20.63;19.46;18.42;21.07
    2015;61.13;60.12;63.30;48.21;43.47;53.94;22.06;19.01;25.96;23.55;21.43;26.61
    2014;63.72;57.86;72.96;50.12;46.45;54.64;24.88;22.78;27.51;21.08;21.01;21.16
    2013;70.31;62.81;82.00;50.18;51.39;48.72;27.63;27.12;28.28;20.48;20.94;19.84
    2012;70.95;71.84;69.81;45.95;46.53;45.28;26.19;26.24;26.12;19.27;21.01;16.77
    2011;67.24;66.72;67.87;42.92;44.39;41.09;23.00;23.06;22.91;18.42;18.22;18.75
    2010;54.44;57.27;50.42;35.29;37.08;33.19;22.09;22.34;21.75;12.99;13.10;12.84
    2009;55.31;56.41;53.78;27.75;29.59;25.39;19.74;21.30;17.61;10.27;10.69;9.46
    2008;33.03;34.22;31.34;19.98;19.53;20.53;11.14;10.68;11.78;7.92;7.48;8.80
    2007;28.58;23.72;36.62;12.47;11.93;13.18;6.25;4.62;8.73;5.47;5.09;6.22
    2006;29.25;22.91;38.72;13.74;10.31;18.33;6.59;4.92;9.15;4.91;4.73;5.27
15 Navarra, Comunidad Foral de;;;;;;;;;;;;
    2020;23.68;32.79;14.51;26.13;27.28;24.93;9.63;9.41;9.87;7.01;7.31;6.60
